INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.252,32.0,7.0,143.0,111.0,22.0,3.0,0.324,0.338,0.662,116.0,22.0,0.19,319.0,88.0,0.276,2.0,144.0,641.0,568.0,63.0,54.0,9.0,13.0,10.0,.769,7.0,6.0,.857,4.0,0.0,0.0,.---,3.0,3.0,119.0
NO2,0.249,33.0,3.0,127.0,102.0,18.0,4.0,0.321,0.317,0.638,110.0,31.0,0.282,272.0,70.0,0.257,2.0,144.0,621.0,511.0,58.0,49.0,6.0,16.0,11.0,.688,58.0,54.0,.931,1.0,0.0,0.0,.---,10.0,11.0,95.0
NO3,0.247,50.0,5.0,142.0,111.0,25.0,1.0,0.29,0.319,0.609,165.0,39.0,0.236,319.0,74.0,0.232,2.0,144.0,622.0,576.0,59.0,33.0,5.0,5.0,4.0,.800,1.0,1.0,1.000,7.0,0.0,0.0,.---,10.0,8.0,93.0
NO4,0.286,91.0,24.0,150.0,99.0,25.0,2.0,0.368,0.478,0.846,147.0,47.0,0.32,278.0,76.0,0.273,10.0,144.0,601.0,525.0,54.0,64.0,7.0,2.0,0.0,.000,0.0,0.0,.---,5.0,0.0,0.0,.---,18.0,5.0,85.0
NO5,0.226,70.0,12.0,124.0,84.0,28.0,0.0,0.273,0.342,0.615,145.0,41.0,0.283,293.0,68.0,0.232,7.0,144.0,586.0,549.0,46.0,29.0,7.0,4.0,3.0,.750,0.0,0.0,.---,1.0,0.0,0.0,.---,8.0,10.0,122.0
NO6,0.263,42.0,10.0,129.0,90.0,27.0,2.0,0.345,0.388,0.733,115.0,33.0,0.287,245.0,61.0,0.249,1.0,144.0,557.0,490.0,43.0,49.0,14.0,7.0,1.0,.143,1.0,1.0,1.000,3.0,0.0,0.0,.---,11.0,9.0,78.0
NO7,0.233,51.0,9.0,112.0,81.0,19.0,3.0,0.287,0.341,0.627,109.0,27.0,0.248,235.0,55.0,0.234,4.0,144.0,529.0,481.0,35.0,30.0,7.0,14.0,9.0,.643,10.0,9.0,.900,2.0,0.0,0.0,.---,12.0,6.0,94.0
NO8,0.221,22.0,1.0,92.0,73.0,18.0,0.0,0.252,0.272,0.524,90.0,19.0,0.211,187.0,43.0,0.23,0.0,144.0,462.0,416.0,27.0,19.0,0.0,0.0,0.0,.---,25.0,22.0,.880,5.0,0.0,0.0,.---,7.0,5.0,108.0
NO9,0.188,17.0,0.0,75.0,60.0,12.0,3.0,0.238,0.234,0.472,103.0,22.0,0.214,174.0,32.0,0.184,0.0,144.0,457.0,398.0,22.0,26.0,1.0,9.0,5.0,.556,32.0,29.0,.906,3.0,0.0,0.0,.---,6.0,8.0,113.0
